Department,Sub Department,URL
Girls' Fashion,School Uniforms,https://www.amazon.com/s?bbn=16225020011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A7147442011%2Cn%3A7581687011&ref_=nav_em__nav_desktop_sa_intl_school_uniforms_0_2_15_7
Boys' Fashion,Clothing,https://www.amazon.com/s?bbn=16225021011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225021011%2Cn%3A1040666&ref_=nav_em__nav_desktop_sa_intl_clothing_0_2_16_2
Boys' Fashion,Shoes,https://www.amazon.com/s?bbn=16225021011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225021011%2Cn%3A679182011&ref_=nav_em__nav_desktop_sa_intl_shoes_0_2_16_3
Boys' Fashion,Jewelry,https://www.amazon.com/s?bbn=16225021011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225021011%2Cn%3A3880611&ref_=nav_em__nav_desktop_sa_intl_jewelry_0_2_16_4
Boys' Fashion,Watches,https://www.amazon.com/s?bbn=16225021011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225021011%2Cn%3A6358551011&ref_=nav_em__nav_desktop_sa_intl_watches_0_2_16_5
Boys' Fashion,Accessories,https://www.amazon.com/s?bbn=16225021011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225021011%2Cn%3A2474939011&ref_=nav_em__nav_desktop_sa_intl_accessories_0_2_16_6
Boys' Fashion,School Uniforms,https://www.amazon.com/s?bbn=7581691011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A7147443011%2Cn%3A7581691011&ref_=nav_em__nav_desktop_sa_intl_school_uniforms_0_2_16_7
Health and Household,Baby & Child Care,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A10787321&ref_=nav_em__nav_desktop_sa_intl_baby_and_child_care_0_2_17_2
Health and Household,Health Care,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A3760941&ref_=nav_em__nav_desktop_sa_intl_health_care_0_2_17_3
Health and Household,Household Supplies,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A15342811&ref_=nav_em__nav_desktop_sa_intl_household_supplies_0_2_17_4
Health and Household,Medical Supplies & Equipment,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A3775161&ref_=nav_em__nav_desktop_sa_intl_medical_supplies_and_equipment_0_2_17_5
Health and Household,Oral Care,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A10079992011&ref_=nav_em__nav_desktop_sa_intl_oral_care_0_2_17_6
Health and Household,Personal Care,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A3777891&ref_=nav_em__nav_desktop_sa_intl_personal_care_0_2_17_7
Health and Household,Sexual Wellness,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A3777371&ref_=nav_em__nav_desktop_sa_intl_sexual_wellness_0_2_17_8
Health and Household,Sports Nutrition,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A6973663011&ref_=nav_em__nav_desktop_sa_intl_sports_nutrition_0_2_17_9
Health and Household,Stationery & Gift Wrapping Supplies,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A723418011&ref_=nav_em__nav_desktop_sa_intl_stationery_and_gift_wrapping_supplies_0_2_17_10
Health and Household,Vision Care,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A10079994011&ref_=nav_em__nav_desktop_sa_intl_vision_care_0_2_17_11
Health and Household,Vitamins & Dietary Supplements,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A3764441&ref_=nav_em__nav_desktop_sa_intl_vitamins_and_dietary_supplements_0_2_17_12
Health and Household,Wellness & Relaxation,https://www.amazon.com/s?bbn=16225010011&rh=i%3Aspecialty-aps%2Cn%3A%2116225010011%2Cn%3A10079996011&ref_=nav_em__nav_desktop_sa_intl_wellness_and_relaxation_0_2_17_13
Home and Kitchen,Kids' Home Store,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A3206325011&ref_=nav_em__nav_desktop_sa_intl_kids_home_store_0_2_18_2
Home and Kitchen,Kitchen & Dining,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A284507&ref_=nav_em__nav_desktop_sa_intl_kitchen_and_dining_0_2_18_3
Home and Kitchen,Bedding,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A1063252&ref_=nav_em__nav_desktop_sa_intl_bedding_0_2_18_4
Home and Kitchen,Bath,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A1063236&ref_=nav_em__nav_desktop_sa_intl_bath_0_2_18_5
Home and Kitchen,Furniture,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A1063306&ref_=nav_em__nav_desktop_sa_intl_furniture_0_2_18_6
Home and Kitchen,Home Décor,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A1063278&ref_=nav_em__nav_desktop_sa_intl_home_decor_0_2_18_7
Home and Kitchen,Wall Art,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A3736081&ref_=nav_em__nav_desktop_sa_intl_wall_art_0_2_18_8
Home and Kitchen,Lighting & Ceiling Fans,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A16510975011&ref_=nav_em__nav_desktop_sa_intl_lighting_and_ceiling_fans_0_2_18_9
Home and Kitchen,Seasonal Décor,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A13679381&ref_=nav_em__nav_desktop_sa_intl_seasonal_decor_0_2_18_10
Home and Kitchen,Event & Party Supplies,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A901590&ref_=nav_em__nav_desktop_sa_intl_event_and_party_supplies_0_2_18_11
Home and Kitchen,"Heating, Cooling & Air Quality",https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A3206324011&ref_=nav_em__nav_desktop_sa_intl_heating_cooling_and_air_quality_0_2_18_12
Home and Kitchen,Irons & Steamers,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A510240&ref_=nav_em__nav_desktop_sa_intl_heating_cooling_and_air_quality_0_2_18_13
Home and Kitchen,Vacuums & Floor Care,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A510106&ref_=nav_em__nav_desktop_sa_intl_vacuums_and_floor_care_0_2_18_14
Home and Kitchen,Storage & Organization,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A3610841&ref_=nav_em__nav_desktop_sa_intl_storage_and_organization_0_2_18_15
Home and Kitchen,Cleaning Supplies,https://www.amazon.com/s?bbn=16225011011&rh=i%3Aspecialty-aps%2Cn%3A%2116225011011%2Cn%3A10802561&ref_=nav_em__nav_desktop_sa_intl_cleaning_supplies_0_2_18_16
Industrial and Scientific,Abrasive & Finishing Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A256167011&ref_=nav_em__nav_desktop_sa_intl_abrasive_and_finishing_products_0_2_19_2
Industrial and Scientific,Additive Manufacturing Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A6066126011&ref_=nav_em__nav_desktop_sa_intl_additive_manufacturing_products_0_2_19_3
Industrial and Scientific,Commercial Door Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A10773802011&ref_=nav_em__nav_desktop_sa_intl_commercial_door_products_0_2_19_4
Industrial and Scientific,Cutting Tools,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A383598011&ref_=nav_em__nav_desktop_sa_intl_cutting_tools_0_2_19_5
Industrial and Scientific,Fasteners,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A383599011&ref_=nav_em__nav_desktop_sa_intl_fasteners_0_2_19_6
Industrial and Scientific,Filtration,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A3061625011&ref_=nav_em__nav_desktop_sa_intl_filtration_0_2_19_7
Industrial and Scientific,Food Service Equipment & Supplies,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A6054382011&ref_=nav_em__nav_desktop_sa_intl_food_service_equipment_and_supplies_0_2_19_8
Industrial and Scientific,"Hydraulics, Pneumatics & Plumbing",https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A3021479011&ref_=nav_em__nav_desktop_sa_intl_hydraulics_pneumatics_and_plumbing_0_2_19_9
Industrial and Scientific,Industrial Electrical,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A306506011&ref_=nav_em__nav_desktop_sa_intl_industrial_electrical_0_2_19_10
Industrial and Scientific,Industrial Hardware,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A16412251&ref_=nav_em__nav_desktop_sa_intl_industrial_hardware_0_2_19_11
Industrial and Scientific,Industrial Power & Hand Tools,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A3021459011&ref_=nav_em__nav_desktop_sa_intl_industrial_power_and_hand_tools_0_2_19_12
Industrial and Scientific,Janitorial & Sanitation Supplies,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A317971011&ref_=nav_em__nav_desktop_sa_intl_janitorial_and_sanitation_supplies_0_2_19_13
Industrial and Scientific,Lab & Scientific Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A317970011&ref_=nav_em__nav_desktop_sa_intl_lab_and_scientific_products_0_2_19_14
Industrial and Scientific,Material Handling Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A256346011&ref_=nav_em__nav_desktop_sa_intl_material_handling_products_0_2_19_15
Industrial and Scientific,Occupational Health & Safety Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A318135011&ref_=nav_em__nav_desktop_sa_intl_occupational_health_and_safety_products_0_2_19_16
Industrial and Scientific,Packaging & Shipping Supplies,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A8553197011&ref_=nav_em__nav_desktop_sa_intl_packaging_and_shipping_supplies_0_2_19_17
Industrial and Scientific,Power Transmission Products,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A16310181&ref_=nav_em__nav_desktop_sa_intl_power_transmission_products_0_2_19_18
Industrial and Scientific,Professional Dental Supplies,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A8297371011&ref_=nav_em__nav_desktop_sa_intl_professional_dental_supplies_0_2_19_19
Industrial and Scientific,Professional Medical Supplies,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A8297370011&ref_=nav_em__nav_desktop_sa_intl_professional_medical_supplies_0_2_19_20
Industrial and Scientific,Raw Materials,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A16310191&ref_=nav_em__nav_desktop_sa_intl_raw_materials_0_2_19_21
Industrial and Scientific,Retail Store Fixtures & Equipment,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A8615538011&ref_=nav_em__nav_desktop_sa_intl_retail_store_fixtures_and_equipment_0_2_19_22
Industrial and Scientific,Robotics,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A8498884011&ref_=nav_em__nav_desktop_sa_intl_robotics_0_2_19_23
Industrial and Scientific,Science Education,https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A393459011&ref_=nav_em__nav_desktop_sa_intl_science_education_0_2_19_24
Industrial and Scientific,"Tapes, Adhesives & Sealants",https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A256225011&ref_=nav_em__nav_desktop_sa_intl_tapes_adhesives_and_sealants_0_2_19_25
Industrial and Scientific,"Test, Measure & Inspect",https://www.amazon.com/s?bbn=16225012011&rh=i%3Aspecialty-aps%2Cn%3A%2116225012011%2Cn%3A256409011&ref_=nav_em__nav_desktop_sa_intl_test_measure_and_inspect_0_2_19_26
Luggage,Carry-ons,https://www.amazon.com/s?bbn=16225017011&rh=i%3Afashion-luggage%2Cn%3A7141123011%2Cn%3A16225017011%2Cn%3A15743251%2Cn%3A15743261&ref_=nav_em__nav_desktop_sa_intl_carry_ons_0_2_20_2
Luggage,Backpacks,https://www.amazon.com/s?bbn=16225017011&rh=i%3Afashion-luggage%2Cn%3A7141123011%2Cn%3A16225017011%2Cn%3A360832011&ref_=nav_em__nav_desktop_sa_intl_backpacks_0_2_20_3
