Dimension,ASIN,Date_First_Available,Manufacturer,Store,Country_of_Origin,Best_Sellers_Rank,Color,Item_Model_Number,Item_Weight,Price,Amazon_Global_Shipping,Estimated_Import_Charges,Description,5-star,4-star,3-star,2-star,1-star
1.5 x 1 x 5.5 inches; 1.8 ounces,B0DQWR5198,None,Polixel,POLIXEL Store,None,None,None,SADHESIVE,None,$13.99,None,None,"['Fast Curing: This sealant is designed for quick curing, typically reaching a tack-free state shortly after application, forming a strong seal quickly. This makes the application process more efficient, suitable for projects that require rapid completion and saving waiting time.', 'Multi-Purpose: This sealant is suitable for a wide range of applications, including home repairs, construction projects, automotive sealing, and boat repairs. It adheres firmly to various surfaces such as metal, glass, plastic, and ceramics, meeting the needs of different materials. Whether for new construction or maintaining older facilities, it is an ideal choice.', 'Easy to Use: The sealant features a user-friendly formulation, ensuring that both professionals and DIY users can use it with ease. Its excellent flow allows for easy application directly from the tube, making it ideal for tight or irregular spaces, ensuring that every corner can be perfectly sealed.', 'Waterproof and Weather Resistant: This product boasts outstanding waterproof capabilities, effectively resisting rain, moisture, and other factors. It is suitable for outdoor and humid environments. Additionally, its weather resistance is exceptional, showing little degradation due to UV exposure, extreme temperatures, or frost, ensuring stability and reliability for long-term use.', 'Strong Adhesive Strength: The sealant offers excellent adhesive strength, effectively bonding various materials and forming a high-strength connection. This powerful adhesion ensures lasting stability of seals and connections, helping to prevent air and water infiltration, especially in environments where pressure or vibration is expected.']",72,0%,14,0%,14
5 x 1.5 x 5 inches; 2.47 ounces,B0DRG654G9,None,BUFFZIT CAR BUPPLIES Corp,BUFFZIT Store,None,None,None,ASRS25,None,$13.99,None,None,"['Efficient and long-lasting seal: Our car sealant is designed for ease of use, providing a durable and robust seal in any area that requires sealing. This solution helps you save time and money by efficiently completing the sealing task with minimal effort.', 'Weather resistant: The Black Auto Sealant is engineered to withstand extreme temperatures, both high and low, while preserving its elasticity and sealing capabilities across various challenging climates.', 'Outstanding sealing performance: This car body sealant offers strong sealing and leak-proof features. It withstands vibrations, expansion, and impact, remaining effective all the time.', 'Versatile applications: Ideal for diverse automotive sealing and repair needs, this car sealant is perfect for use on doors, windows, windscreens, roofs, and bonnets. It effectively addresses issues related to water leakage, wind infiltration, and soundproofing.', 'EASY TO USE: the auto windows sealant requires no special skills for application. Just apply the sealant to the desired area and allow a moment for a sturdy, lasting seal to take hold.']",85,0%,0%,15,0%
3 x 1 x 1 inches; 0.96 ounces,B0DS66VVRY,None,Brownells,Brownells Store,None,None,None,430-110-337,None,$12.99,None,None,"['High strength hold red threadlocker, 140-300 lb/in', 'Made in the USA', 'Not recommended for use with plastics or in oxygen rich environments']",0%,0%,0%,0%,0%
15.75 x 9.84 x 2.76 inches,B0DMSFKKWT,None,JYD-Threlaco-1987,Brand: Threlaco,None,None,None,JYD-Threlaco-1987,None,$19.99,None,None,"['High Absorption Strength: the bilge socks are filled with high absorption poly mixture to selectively absorb oil; This strong absorption skillfully handles overflow, which helps to keep clean', 'Compact Size for Versatile Use: with dimensions of 5 x 16 inches/ 12 x 40 cm, these absorb socks can be placed in different positions; They can keep floors dry and clean in the cabin, or absorb grease and keep the water quality in the swimming pool', 'Strong Mesh: our bilge socks have a strong mesh outer sleeve that efficiently sheds water; This material is designed to be waterproof, but it performs well in oil absorption, ensuring that the blocked oil is fully absorbed, but does not absorb water', 'Easy to Replace: each package has two absorb socks, which are easy to change; Two bilge socks easily meet your replacement requirements', 'Widely Application: bilge socks have a wide range of uses; In addition to being ideal for absorbing oil in cabins, they can also absorb grease in swimming pools and other scenarios, helping to maintain clean water quality']",100,0%,0%,0%,0%
18.5 x 12.25 x 12.25 inches; 52 Pounds,B0CMZBHJGK,None,Prime Guard,Prime Guard Store,None,None,None,92006,None,$62.89,None,None,"['Removes Frost, Road Grime & Dirt', 'Effective to -20ºF', 'Leaves No Streak or Residue Behind']",0%,0%,0%,0%,0%
6.22 x 5.14 x 3.81 inches,B0DR5MQXMP,None,BL-J00891,Bulubiu Store,None,None,None,36410-60093 36410-60090,None,$67.86,None,None,"['【 Part Name 】Transmission Oil Fluid Cooler 19430-RCA-A51', '【Material of Parts】This product is made of high-quality material, which is wear-resistant and not easily damaged. The shell is sturdy, corrosion-resistant, responsive, stable in performance, reliable and durable, with a long service life', '【Quality Control】We will conduct multiple tests before shipment to ensure safety, stability, and durability, and package the items properly to ensure that the products are delivered to you in perfect condition', '【regular inspection】 Check the oil condition regularly to see if there is any deterioration, dirt or contamination and whether the oil needs to be replaced to ensure its cleanliness and good lubrication performance. If the oil cooler is found to be working abnormally (such as excessive oil temperature, oil leakage, etc.), it should be repaired in time at a professional maintenance agency to avoid more serious failures', '【 Friendly Reminder 】 Please confirm the part number/manufacturer/model/year before purchasing to ensure that the parts are suitable for your vehicle']",0%,0%,0%,0%,0%
0.13 x 0.13 x 0.1 inches,B0DQCT1PSK,None,ELECTRAPICK-09,ELECTRAPICK Store,None,None,None,TYR09,None,$13.99,None,None,"['【3-in-1 design】Hvac locking cap key comes with 410A, R22, universal 3-in-1 design and is compatible with various refrigerant locking caps on the refrigerant safety cover.', '【Durability】This hvac locking cap key is made of high quality galvanized iron and is designed to withstand frequent use and harsh operating conditions.The solid design can ensure the lasting performance and reliability.', '【Easy to use】Hvac key tool is designed to be small, hvac key tool for 410a and r22 refrigerants are easy to use in narrow spaces and angles.', '【Mountaineering Buckle】Refrigerant key for locking caps is equipped with a quick spring button, which can be easily hung on the waist, Hvac professionals can use at any time, and is also not easy to lose.', '【Essential for HVAC Professionals】This Hvac tool is an essential tool for hvac professionals. It is compatible with all Novent NG/NP/NPE Euro and NS universal locking caps.Tamper-proof locking caps (purchased separately) provide a unique way to prevent unauthorized access.']",0%,0%,0%,0%,0%
8.07 x 3.54 x 0.74 inches,B0DMRN3NG4,None,DXNQ-3880DA,Brand: DXNQ,None,None,None,DEF Antifreeze Coolant Refractometer,None,$15.99,None,None,"[""【Enhanced Clarity】: The refractometer features an optical glass prism that enhances clarity by 1.5 times, paired with a high light transmission rate. This allows for precise measurement of the freezing point of antifreeze, so you can make informed decisions about your car's cooling system."", ""【Durable Construction】: The refractometer's aluminum body is finished with chrome plating, offering high hardness, wear resistance, and protection against rust and corrosion. You can trust this long-lasting tool that withstands frequent exposure to automotive fluids."", '【Non-Slip Grip】: The tail section of the refractometer features a textured rubberized sleeve, which provides a comfortable and secure grip during operation. It allows for easy rotation and handling, minimizing the risk of slips that could compromise the accuracy of your readings.', '【Use Instructions】: First, open the daylight plate and clean the prism gently with a soft cloth. Second, add a few drops of the test fluid onto the prism and close the daylight plate to secure it. Next, look through the eyepiece, directing the prism toward a bright light source for visibility.', '【Broad Application】: This refractometer is ideal for various applications, including windshield washer fluid, antifreeze, diesel exhaust fluid (DEF), and electrolyte measurement, among others. You can refer to the measuring ranges listed below for some specific applications.']",0%,0%,0%,0%,0%
4.53 x 2.76 x 2.17 inches,B0DNVNKFRJ,None,ATFOEEN,Brand: ATFOEEN,None,None,None,None,None,$9.99,None,None,"['Replace Part Number: 904-964, 12608374. Please double-check whether the vehicle model is compatible with this product before purchase to avoid a mismatch', 'Compatible Model: The Intermediate Fuel Feed Pipe is compatible with Buick LaCrosse 2010-2016, Regal 2011-2017, Verano 2012-2017; for Chevy Captiva Sport 2011-2016, Equinox 2010-2017, Impala 2014, for Chevy Malibu 2013-2014, Orlando 2012-2014; for GMC Terrain 2010-2017.', 'Main Function: The high-pressure fuel pipeline provides the required amount of fuel to the engine, ensures the normal operation of the engine, and improves the sense of driving safety.', 'Hard Material: The fuel supply pipe is made of high-quality stainless steel material, durable, not easy to rust, long service life', 'Simple Installation: No technical expertise is required to install the fuel line, but tools are needed to remove the old part from the line and replace it with a new fuel line']",0%,0%,0%,0%,0%
4.96 x 3.07 x 0.63 inches; 2.1 ounces,B0DNJYQ1PZ,None,ECuoPix,Brand: ECuoPix,None,None,None,None,None,$8.99,None,None,"['[Complete Cleaning Kit for Precision Work] Upgrade your carburetor and torch maintenance with carb jet cleaning tool set; The set includes 3 tools kits for thorough, precise cleaning; carburetor jet cleaning tool ideal for professionals and DIY enthusiasts', '[Carburetor Cleaning Kit] This carburetor cleaning kit features 5 nylon brushes ranging from 3 to 7mm in diameter, and 10 cleaning wires from 0.4 to 1.3mm; Complete with a 4mm throttle wrench, carb cleaning kit is perfect for intricate carburetor tasks', '[Torch Tip Cleaner] Our torch tip cleaner set includes 13 precision needles ranging from 0.4mm to 1.6mm, and a flat file designed to tackle stubborn residues; This welding tip cleaner set ensures your torch runs smoothly much longer', '[Multipurpose Utility Tool] A sharp pick complements the airbrush cleaning kit set, ideal for hard-to-reach areas; Made from durable stainless steel, it provides longevity and reliability for various applications like stoves, burners, and more', '[Portable and Versatile] Compact and easy to carry, this carburetor jet cleaning tool set is a must-have for car, motorcycle, lawnmower, and other carburetor maintenance; Enhance your tool kit with these high-quality, versatile carb cleaning brushes']",0%,0%,0%,0%,0%
0.04 x 0.04 x 0.04 inches,B0DLNYQ9FW,None,LEKJL501BL-1026,Brand: lekudo,None,None,None,LEKJL501BL-4PS,None,$4.46,None,None,"['Packaging Details: You will receive 4 black automotive steering column gear rubber covers with an overall size of 1.14 "" x 0.35 "". Manufactured to original size specifications to ensure a precise fit without complicated changes.', 'Shock Absorption and Noise Reduction: The steering column gear sleeve is made of soft rubber material, which can effectively reduce the abnormal noise caused by gear friction and collision, providing smoother and quieter steering operation.', 'Elastic Recovery: The rubber sleeve has good elasticity and can withstand a certain amount of pressure and deformation during the steering process, and can quickly return to its original shape to maintain normal steering operations.', 'Wear Resistance and Durability: The rubber sleeve material has good wear resistance and can withstand long-term use and frequent steering operations, extending the service life of the steering column gear.', 'Applicable Models: This car steering column gear sleeve is compatible with 2007 2008 2009 2010 2011 2012 2013 2014 HYUNDAI Elantra, 2012 2013 2014 HYUNDAI Veloste, 2012 2013 2014 KIA Forte Sedan/Koup, 2012 2013 KIA Forte5.']",0%,0%,0%,0%,0%
13.77 x 10.6 x 5.51 inches,B0DKNPJMMH,None,BXYD001,Brand: GEMLORD,None,None,None,BXYD-001,None,$26.99,None,None,"['Sufficient Quantity: This pack includes 100 oil absorbent mats, providing you with ample quantity to meet your various needs. Whether for frequent spills or backup replacements, these mats are designed to handle multiple cleanups efficiently.', 'High-Quality Material: Made from premium filter cotton, these mats feature excellent oil and water absorption capabilities. They are engineered to absorb liquids quickly, providing an efficient and reliable solution for cleaning up oil, grease, and other spills with ease.', 'Perfect Size: Each mat measures approximately 25 x 33 cm (9.8 x 13 inches), making them the perfect size for wiping down tools, machinery, car parts, or serving as a protective mat for garage floors, workstations, or countertops. They’re large enough to cover a broad area while remaining easy to handle.', 'Convenient & Easy to Use: No tools are required—simply place the mat where needed to absorb oil and other spills. The mats are disposable, meaning you won’t have to spend time cleaning them. For customized use, they can be easily cut to the size you need, helping you maintain a clean and tidy workspace effortlessly.', ""Wide Range of Applications:These absorbent mats are ideal for use in garages, workshops, kitchens, industrial settings, basements, and more. Whether you're dealing with oil, water, or other liquid spills, these mats provide versatile, reliable performance in various environments.""]",0%,0%,0%,0%,0%
15.75 x 12.6 x 3.94 inches,B0DMP3K3KJ,None,Heigble,Brand: Heigble,None,None,Pink,None,None,$27.99,None,None,"['Package Includes: each package of our bilge oil boom comprises 4 bilge absorbent oils, providing a plentiful supply; The number is enough to cater to your needs for a significant period', ""Material Composition: our absorbent oil is crafted from polypropylene, ensuring absorption ability; It keeps ship's bilge clean; It is easy to be installed and applied due to its convenient fixating function, deterring potential for equipment disruption"", 'Product Size: with a size of about 11.81 x 3.94 inches/ 30 x 10 cm, the oil absorbent sheets ensure practicality during usage; Its optimal dimensions ensure thorough cleaning and absorption within the bilge', 'Reusable Function: these oil absorbent pads are thoughtfully designed to be reusable; After being fully saturated with oil, you can easily manually wring them out and reuse them approximately 4–6 times, adding value through their extended lifespan', 'Absorption Capacity: designed for absorption, this bilge absorbent oil catches oils and fats up to 2 quarts while repelling water; As an effective oil spill cleaner, thus ensuring a pristine']",0%,0%,0%,0%,0%
15.5 x 12 x 12 inches,B0CV4MLVZ8,None,PRIMAW325,Prime Guard Store,None,None,None,AW325,None,$85.24,None,None,"['Provides anti-wear protection', 'Inhibits rust & corrosion', 'Anti foaming agent']",0%,0%,0%,0%,0%
9.45 x 7.95 x 6.26 inches,B0DPXT9XCQ,None,00205-6PK,BlueDevil Products Store,None,None,None,None,None,$137.65,None,None,"['Permanent repair for radiator and block leaks.', 'Works effectively on plastic, aluminum and/or metal radiators', 'Contains no solids or fibrous materials.', 'Safe and Easy to use.']",67,12,7,4,10
7.52 x 7.2 x 1.1 inches,B0DN1M8B12,None,REWMPN12,Brand: JawGrew,None,None,None,REWRG606BL-30PS,None,$4.49,None,None,"['Rubber Material: This windshield washer hose set is made of rubber material. Its excellent toughness and elasticity can be used perfectly in different environments without affecting the water jet. Flexible, wear-resistant and durable, with long service life. The hose connector is made of plastic material, which is impact-resistant and not easy to break.', 'Perfect Replacement: This windshield washer hose kit can help you replace the aged hose easily and quickly, and correctly connect the water pump to the windshield nozzle. It makes you more efficient when cleaning your car glass, thus providing you with convenience.', 'Easy to Use: This glass washer hose quickly sprays and cleans the windshield, restoring a clear view for you, which helps driving safety. At the same time, it can effectively extend the life of wiper blades.', 'Widely Used: The sizes of the three connectors are T-type 1.34 "" x 0.8 "", I-type 1.3 "", and Y-type 1.4 "" x 1 "". This windshield wiper hose repair kit is suitable for most windshield washer nozzles. It is widely used in cars, SUVs, trucks, etc.', 'Packing List: You will receive 1 x 13.1 Ft windshield washer hose and 30 hose connectors, including 10 Y-shapes, 10 I-shapes and 10 T-shapes. Sufficient quantity to meet your use and replacement needs, no need to worry about the damaged connector affecting the use of the cleaning wipers.']",100,0%,0%,0%,0%
4 x 4 x 1.9 inches,B0DHRYCQG6,None,Replace Q78AB9DBTWA,Brand: ULZOZN,None,None,None,Front Hub Grease Cap,None,$19.88,None,None,"['Perfect Fit: Replace 43514-28010, fit for TOYOTA 4Runner 1996-2021 FJ Cruiser 2007-2014 Previa 1991-1997 Sequoia 2001-2007 Tacoma 1995-2021 Tundra 2000-2006, fit for LEXUS GX460 2010 - 2021 GX470 2003-2009', 'Efficient Sealing: The front wheel hub grease cover effectively prevents dust, moisture, and other impurities from entering the hub bearings, ensuring the cleanliness and lubrication of the bearings and maintaining optimal driving performance', 'Durable and Sturdy: Made of high-quality materials, corrosion-resistant and wear-resistant, and subjected to strict quality testing, it can be used for a long time in harsh environments, making it easy to cope with', 'Maintain Lubrication: The sealed design can keep the grease inside the bearing, reduce wear, extend the service life of the bearing, maintain good lubrication of the bearing, and improve the handling and stability of the vehicle', 'Easy Installation: You will get 2 x Front hub grease caps, which can be replaced directly, making it easy and fast to install, bringing you great convenience']",0%,0%,0%,0%,0%
10.35 x 9.33 x 8.23 inches,B0DLZWGDMT,None,RT-1525,LIIZOUSUDA Store,None,None,None,RT-1525,None,$93.99,None,None,"['PROFESSIONAL INDUSTRIAL STRENGTH – This high-temperature rtv gasket sealant is designed to withstand the harsh conditions of industrial environments, making it designed specially for high-torque and high-vibration applications. Resists oil, water, anti-freeze, and transmission fluid.', 'TOUGH & FLEXIBLE – Once dry, the silicone gasket maker forms a seal that resists cracking, shrinking, and migration caused by thermal cycling, vibration, and contraction. Maximum vibration resistance, with outstanding resistance to oils, cooling, and shop fluids.', 'HIGH TEMPERATURE AND LONG LASTING – RTV gasket maker cures without shrinking and has a low odor and non-corrosive formula. Temperature range -65°F to +550°F Int. (-54°C to +260°C) intermittent, making it ideal for use in automotive, industrial, and other high-heat applications.', 'MULTIFUNCTIONAL RTV SILICONE GASKET MAKER – Ideal for replacing gaskets on cam or transmission covers, thermostat housings, intake manifold seals, oil pans, and water pumps, guaranteed not to leak.', 'PACKAGE CONTAIN – 12 pcs 13 oz. High-Temp Gasket Maker RTV Silicone.']",100,0%,0%,0%,0%
7.4 x 5.71 x 0.55 inches; 4 ounces,B0DQ5GWN37,None,Generic,Brand: Generic,None,None,None,None,None,$9.99,None,None,"['✨ Professional Cleaning Tool Kit: Our carburetor cleaning kit includes 4 cleaning wires, 8 precision needles, and 3 double-ended brushes. This welding tip cleaner set effectively removes clogs from carburetors and torch tips, perfect for comprehensive carburetor maintenance and torch tip cleaning', '🔄 Durable & Reusable: This professional carburetor cleaner kit is designed for multiple uses, efficiently removing debris from carb jets and small passages. Perfect for cleaning clogged natural gas/propane jets and engine carburetors, ensuring long-lasting performance', '💫 Simple & Effective Design: The specialized torch tip cleaner features a spiral design, specifically engineered for unclogging cutting nozzles from welding residue. Regular maintenance with our carb cleaning tools extends nozzle life and ensures optimal performance', '🛠️ Premium Quality Construction: Our carburetor cleaning tools combine high-density nylon brushes with professional-grade stainless steel. The durable materials resist rust and deformation, while spiral bristles ensure thorough cleaning of your carburetor and welding tips', '👥 Versatile Applications: This universal carburetor cleaner kit works perfectly on spray guns, nozzles, and pneumatic tools. Ideal for cars, motorcycles, ATVs, welding machines, camping stoves, tattoo equipment, lawn machinery, and various small engine carburetors']",60,40,0%,0%,0%
11.06 x 10.39 x 8.43 inches,B0DPXZTYVD,None,BDEV0021212,BlueDevil Products Store,None,None,None,00212-12PK,None,$470.64,None,None,"['Permanent repair for head gasket leaks', 'Easy to use Pour-N-Go formula', 'Compatible with all types of antifreeze', 'Contains no solid or fibrous materials']",0%,0%,0%,0%,0%
14 x 12 x 12 inches; 39 Pounds,B0DKG44FD2,None,Ultrachem LLC,ULTRA 1PLUS Store,None,None,None,UL713,None,$126.95,None,None,"['OPTIMAL PROTECTION: U1P-Gear SAE 90 GL-5 Gear Oil, fortified with anti-scuffing additives, ensures advanced lubricity, safeguarding gears from high-torque stress.', 'HIGHLY SHEAR STABLE: Experience prolonged performance with our SAE 90 GL-5 Gear Oil, featuring exceptional shear stability, resisting wear even under extreme pressure conditions.', 'COMPREHENSIVE DEFENSE: Engineered for durability, our gear oil exhibits good oxidation resistance, foam resistance, and corrosion protection, extending equipment life for sustained reliability.', 'TACKINESS FOR STABILITY: This gear oil boasts a highly shear stable tackiness, providing lasting adhesion to gears, minimizing friction, and ensuring smooth, efficient operation.', 'RUST-PROOF PERFORMANCE: With robust rust resistance, our SAE 90 GL-5 Gear Oil guarantees long equipment life, maintaining gears in optimal condition and preventing deterioration.']",80,17,3,0%,0%
