ASIN,dateId,CategoryID,Delivery_time_days,MainRankingValue,AmazonGlobal_Shipping,Estimated_Import_Charge,PriceGroup
B0DZPC565Q,1,1,23,,26.75,24.83,Low Income
B0DN1GTBCJ,1,1,0,111168.0,27.14,0.00,Low Income
B0DSD1TYZG,1,1,0,636.0,32.67,30.39,Low Income
B0DSLBCWGL,28,1,0,1173223.0,25.32,0.00,Very Low Income
B0DSZW9N5N,1,1,0,,40.34,29.10,Low Income
B0DY75BTFX,1,1,61,,28.34,28.03,Low Income
B0DWMJ15KN,29,1,0,7822.0,30.26,30.71,Low Income
B0DT487CMN,1,1,0,,28.98,33.39,Low Income
B0DXB4BPY6,5,1,29,404448.0,26.70,4.39,Low Income
B0DP4KWPKS,1,1,0,178819.0,47.39,49.06,Low Income
B0DS9T9K1D,30,1,0,48800.0,27.72,17.80,Very Low Income
B0DT8NNG13,31,1,0,,32.97,0.00,Low Income
B0DT45JXJ5,32,1,0,,32.97,0.00,Low Income
B0DSGCPMKK,16,1,0,9603.0,30.30,23.35,Low Income
B0DTFK188R,33,1,0,89088.0,30.02,26.82,Low Income
B0DRY1TMZ5,34,1,0,2926903.0,26.59,23.34,Low Income
B0DRY39S5K,34,1,0,,28.30,28.02,Low Income
B0DS8MQQMQ,35,1,0,394933.0,28.34,24.80,Low Income
B0DSDY36TT,1,1,0,149788.0,35.50,33.50,Low Income
B0DQTPKGVD,1,1,0,902830.0,31.49,53.49,Lower-Middle Income
B0DGWT6Q1J,1,1,0,1647586.0,45.22,9.27,Low Income
B0DWK6DJ8L,10,1,0,,25.50,17.93,Very Low Income
B0DXF5SZXN,36,1,45,79109.0,26.47,20.62,Low Income
B0DXDRVB81,36,1,45,61540.0,26.47,21.69,Low Income
B0DTV4RVQC,26,1,24,15064.0,32.46,15.68,Low Income
B0DZ9CCF7W,14,1,0,1738815.0,34.53,30.31,Low Income
B0DZDBWTDQ,21,1,0,139831.0,34.73,28.55,Low Income
B0DTTMPT65,26,1,0,,25.39,20.03,Very Low Income
B0DXNV5V1J,1,1,0,,25.07,0.00,Very Low Income
B0DR8YN72J,1,1,0,18607.0,28.94,32.11,Low Income
B0DYTPZ5S2,1,1,0,297.0,39.01,61.59,Low Income
B0DYPFDT2L,37,1,54,,26.19,17.78,Low Income
B0DY15KN8D,1,1,0,,26.19,0.00,Low Income
B0DZSFV8SY,38,1,48,429947.0,26.19,24.76,Low Income
B0DZ2GCSF4,39,1,0,5062.0,27.79,25.08,Low Income
B0DBJ6P3VT,2,1,0,190709.0,28.26,26.39,Low Income
B0DSL67LHQ,1,1,0,268927.0,38.37,36.13,Low Income
B0DW315JZ8,1,1,64,,42.21,40.34,Low Income
B0DZJ3YWV9,40,1,0,1015559.0,25.27,17.83,Very Low Income
B0DWKFY55R,1,1,85,,26.91,0.00,Very Low Income
B0DX22VP8Z,41,1,0,,25.74,13.05,Very Low Income
B0DZNK4MPG,42,1,23,6544.0,29.35,36.14,Low Income
B0DYKYXXKJ,1,1,0,190773.0,57.99,54.10,Lower-Middle Income
B0DZ5P85N9,1,1,0,1186921.0,30.10,30.94,Low Income
B0DQDMM3QC,1,1,0,45672.0,28.14,20.67,Very Low Income
B0DWBCK65B,43,1,92,67917.0,29.11,23.10,Very Low Income
B0DS5RSVJ5,1,1,0,1118505.0,26.75,20.45,Very Low Income
B0DSZCWG86,44,1,0,155329.0,27.38,4.68,Low Income
B0DZ2BWBY3,1,1,0,,25.79,19.71,Very Low Income
B0DY7Y1ZF7,1,1,54,721044.0,26.47,4.18,Very Low Income
B0DSC1MQD9,35,1,0,728390.0,33.88,29.71,Low Income
B0DNCMT7CP,45,1,78,,33.37,30.22,Low Income
B0DYV5HT3L,1,1,0,,26.19,4.42,Low Income
B0DYD7ZP2K,1,1,62,,28.98,25.40,Low Income
B0DYXMPCPL,46,1,0,,27.32,0.00,Low Income
B0DZ324LQJ,39,1,64,,25.77,48.18,Lower-Middle Income
B0DY7VP9MQ,1,1,54,,26.79,4.20,Very Low Income
B0DYY2J4Z2,46,1,64,,25.96,13.82,Very Low Income
B0DR8BXPRV,47,1,0,,,,Very Low Income
B0DR8JSV1T,1,1,0,,26.23,17.05,Very Low Income
B0DZPGTBX9,1,1,23,1004808.0,38.08,20.19,Low Income
B0DSBDK2Y6,1,1,0,,33.63,27.13,Low Income
B0DNSWB34K,48,1,0,823725.0,31.74,13.47,Lower-Middle Income
B0DXQJF3NR,1,1,24,2546.0,39.40,17.09,Low Income
B0DQ8FKJZR,49,1,0,180633.0,30.73,5.41,Low Income
B0DXQ3QW75,50,1,0,10839.0,28.58,33.55,Low Income
B0DZH88C67,1,1,64,1421519.0,40.21,36.96,Low Income
B0DLJRJVND,1,1,0,8677.0,31.49,13.05,Low Income
B0DT6T69HM,1,1,0,238138.0,25.07,0.00,Very Low Income
B0DRY2NLCV,1,1,0,7744.0,30.82,50.88,Lower-Middle Income
B0DTHXV2CT,1,1,0,500738.0,25.75,19.01,Very Low Income
B0DSKZ9FG1,28,1,0,56958.0,27.38,23.69,Low Income
B0DYQ1NDKM,37,1,0,517281.0,30.00,28.94,Low Income
B0DT4ZKTFZ,1,1,0,701260.0,42.32,19.20,Low Income
B0DVZRGNF9,3,1,0,,25.03,23.58,Low Income
B0DS9X14GK,30,1,0,,26.71,24.48,Low Income
B0DZ2WQVLB,1,1,81,,39.89,37.48,Low Income
B0DT2BXY9H,44,1,0,,29.66,17.02,Low Income
B0DR7RNJML,1,1,0,118031.0,52.60,39.27,Lower-Middle Income
B0DTHT9D98,19,1,0,50710.0,35.03,31.64,Low Income
B0DZ1XMJB8,21,1,0,430303.0,28.14,0.00,Very Low Income
B0DPHDFHSC,1,1,0,1283682.0,26.67,4.42,Low Income
B0DSSRFLNP,1,1,0,20925.0,26.26,21.03,Very Low Income
B0DTDVBDLR,1,1,0,1028846.0,41.48,20.32,Low Income
B0DYYJCLHC,1,1,59,894977.0,38.66,15.59,Low Income
B0DXNFW9WQ,50,1,0,68863.0,25.71,21.25,Very Low Income
B0DYYK7WCX,46,1,24,886205.0,70.28,0.00,Low Income
B0DYWRB57J,51,1,0,446973.0,44.37,0.00,Low Income
B0DYWCYN88,51,1,0,329552.0,44.37,42.05,Low Income
B0DY7CHLVT,1,1,0,844167.0,25.51,19.92,Very Low Income
B0DYWM4N8Y,51,1,0,609239.0,50.21,53.71,Lower-Middle Income
B0DYWDGHYM,51,1,0,463957.0,44.37,64.11,Lower-Middle Income
B0DXPLBGXP,50,1,0,,31.09,30.60,Low Income
B0DS7YWKSF,1,1,0,5104.0,43.24,19.46,Low Income
B0DR1BMSWT,1,1,0,455517.0,34.12,14.11,Low Income
B0DXXDZVXR,52,1,0,1164393.0,30.38,30.27,Low Income
B0DTDK334L,1,1,0,65536.0,28.42,20.81,Low Income
B0DZ6876Y7,1,1,0,676055.0,41.51,24.61,Low Income
B0DPVKDM7F,53,1,0,678173.0,27.46,22.21,Very Low Income
B0DWFTJBRB,54,1,0,,25.03,22.50,Low Income
B0DPW35VQK,55,1,0,30077.0,34.39,32.17,Low Income
B0DXJTW8L9,56,1,0,102121.0,25.38,4.43,Low Income
B0DYSCM29M,51,1,29,305176.0,25.27,18.90,Very Low Income
B0DS816Z79,1,1,0,83222.0,30.73,32.55,Low Income
B0DXKW39F9,1,1,54,,35.30,17.59,Low Income
B0DX3SZNTX,41,1,0,,34.03,26.27,Low Income
B0D9CKF7HD,39,1,0,268015.0,30.42,0.00,Low Income
B0DX6YTXTK,18,1,0,,,,Low Income
B0DXFBXRM1,1,1,0,3265680.0,25.07,7.24,Very Low Income
B0DRFVR3LW,12,1,0,33957.0,33.96,29.47,Low Income
B0DRWSP4P7,34,1,0,1841012.0,26.49,17.15,Very Low Income
B0DP9BVZD1,1,1,0,602011.0,31.43,0.00,Low Income
B0DYD79B2F,1,1,0,,27.51,20.24,Very Low Income
B0DYDRFFSR,1,1,85,,42.22,40.87,Low Income
B0DYJ8743N,1,1,85,,42.22,43.56,Low Income
B0DYDRLZXN,1,1,64,,42.22,43.56,Low Income
B0DYDC794M,1,1,85,,42.22,40.87,Low Income
B0DQZCJZKN,1,1,0,845696.0,26.37,0.00,Very Low Income
B0DZ14TN9R,57,1,0,631455.0,31.66,16.39,Low Income
B0DX9MR8GR,58,1,65,,28.74,26.63,Low Income
B0DWSGJWF7,59,1,0,1334958.0,28.06,27.32,Low Income
B0DXZ5ZH1L,60,1,0,,25.39,22.72,Low Income
B0DXFGVRDW,36,1,0,91687.0,31.09,25.46,Low Income
B0DS9P4XYJ,1,1,0,67846.0,25.39,22.37,Very Low Income
B0DMTSL7C6,61,1,0,664.0,34.49,0.00,Low Income
B0DMTSWKYF,61,1,0,91373.0,34.49,29.50,Low Income
B0DXC8WWGQ,58,1,23,,33.39,27.55,Low Income
B0DSFSPMV1,9,1,0,,26.29,20.50,Very Low Income
B0DTDS118S,1,1,0,2100173.0,32.21,24.21,Very Low Income
B0DW9KY6PF,1,1,0,27901.0,39.88,21.20,Low Income
B0DSFJK3P1,9,1,0,776722.0,84.84,17.76,Lower-Middle Income
B0DSDY3G29,1,1,0,726267.0,35.50,33.50,Low Income
B0DS274T6W,1,1,0,24778.0,30.46,39.94,Low Income
B0DSD4WY6X,9,1,0,37525.0,30.71,28.79,Low Income
B0DSD4MCR9,9,1,0,29287.0,31.92,28.89,Low Income
B0DSFWSFLN,1,1,0,174574.0,31.93,57.36,Lower-Middle Income
B0DS26NSM9,62,1,0,,25.15,9.11,Very Low Income
B0DYMDVL51,1,1,0,1483081.0,52.20,51.64,Low Income
B0DS77SXRD,2,1,0,,25.03,20.90,Low Income
B0DV3FQYC3,1,1,0,686500.0,25.43,4.63,Very Low Income
B0DY7WV4MN,23,1,0,22952.0,26.75,20.61,Low Income
B0DSKW2R4C,1,1,0,,54.84,48.75,Low Income
B0DSV5WFHY,1,1,0,,25.71,24.49,Low Income
B0CKHL6DG5,1,1,0,241709.0,26.10,21.47,Very Low Income
B0DYL4XPLL,63,1,0,455985.0,26.35,41.67,Lower-Middle Income
B0DCNG24CP,1,1,47,333771.0,121.87,148.38,Lower-Middle Income
B0DTL96JVS,1,1,0,1872.0,26.47,24.91,Low Income
B0DY7WS2VW,1,1,0,,26.87,4.21,Low Income
B0DY7QB2XQ,1,1,0,,30.18,5.63,Low Income
B0DYL2KJHM,1,1,66,80846.0,32.97,15.42,Low Income
B0DXQQD6FQ,1,1,0,521965.0,25.42,4.51,Low Income
B0DCNQ8FRM,64,1,0,,58.98,9.34,Low Income
B0DXQYBTNS,50,1,0,69877.0,25.54,4.90,Low Income
B0DYJ43DTW,63,1,19,188327.0,,,Lower-Middle Income
B0DPLYTF2X,1,1,0,312714.0,32.77,42.80,Low Income
B0DX798L8B,18,1,24,610175.0,26.03,0.00,Very Low Income
B0DRFZPZFJ,1,1,0,30008.0,34.77,65.05,Lower-Middle Income
B0DQT34H7G,65,1,0,670724.0,26.31,21.53,Very Low Income
B0DSJJ3KK7,1,1,0,295593.0,27.41,14.20,Low Income
B0DT4LBQ78,1,1,0,797658.0,30.18,38.32,Low Income
B0DY7LPH43,23,1,59,,64.49,71.85,Upper-Middle Income
B0DPZCZJLV,1,1,0,5375.0,30.54,13.16,Low Income
B0DXVZ3SKR,1,1,66,760014.0,32.69,22.86,Very Low Income
B0DSZN7VKT,44,1,0,9483.0,27.98,22.09,Low Income
B0DYFDML1L,66,1,0,3182506.0,25.03,12.35,Very Low Income
B0DSTBPNN9,67,1,0,177012.0,26.99,23.57,Low Income
B0D8Q2RQWM,28,1,0,980531.0,35.64,17.97,Low Income
B0DDLJLKH1,1,1,0,,33.97,74.13,Lower-Middle Income
B0DSHWQNFX,20,1,0,546274.0,28.04,22.29,Very Low Income
B0DYDXF698,1,1,19,,33.26,34.02,Lower-Middle Income
B0DQWV66RB,68,1,0,486367.0,26.39,13.94,Very Low Income
B0DQTXX8YH,65,1,0,406290.0,26.39,21.11,Very Low Income
B0DRD19XTT,69,1,0,58549.0,31.62,36.79,Low Income
B0DRCGPD6J,1,1,0,1440756.0,25.59,19.60,Very Low Income
B0DRCQSTTC,1,1,0,393772.0,25.31,19.43,Very Low Income
B0DS23C1H7,62,1,0,3046818.0,27.18,0.00,Low Income
B0DXKWKBL9,56,1,0,46561.0,25.57,4.91,Low Income
B0DW2LGLHC,1,1,0,833840.0,26.83,20.79,Very Low Income
B0DRMZYYCW,1,1,0,174293.0,27.02,20.89,Very Low Income
B0DP9Z6HFD,1,1,0,364361.0,61.37,46.84,Low Income
B0DPYVRF85,1,1,0,143186.0,26.03,4.00,Very Low Income
B0D1T4FDYX,70,1,0,,27.82,29.07,Low Income
B0DT65QDJ1,71,1,0,2709510.0,26.03,19.27,Very Low Income
B0DTFBMC1N,33,1,0,74393.0,28.28,4.94,Low Income
B0DXPKBP2H,50,1,26,53375.0,26.23,22.88,Low Income
B0DX8HXDP7,1,1,24,49016.0,47.02,21.77,Low Income
B0DSW51MX5,1,1,0,534501.0,31.49,51.09,Low Income
B0DLGZ5BBG,1,1,0,,26.29,3.99,Very Low Income
B0DSC9WNBN,1,1,0,1768626.0,26.47,10.52,Very Low Income
B0DX7GDNR5,1,1,0,116147.0,39.62,16.89,Low Income
B0DW7RCLPB,43,1,0,505653.0,31.77,0.00,Low Income
B0DPM1YXSB,1,1,0,804018.0,51.13,7.74,Low Income
B0DSW3DBFV,1,1,0,1387046.0,25.79,9.80,Very Low Income
B0DSGD2DP4,56,1,0,,25.79,22.93,Low Income
B0DXFHK6GJ,36,1,0,28782.0,26.31,19.91,Low Income
B0DXFYD5BD,72,1,0,333426.0,27.54,25.99,Low Income
B0DDR697FB,73,1,0,845995.0,45.42,22.35,Low Income
B0D7Y9BLWL,74,1,0,,48.06,76.32,Lower-Middle Income
B0DTK879H9,1,1,0,,,,
B0D7ZSSDLM,1,1,0,10437.0,34.78,30.43,Low Income
B0DPN2VHD2,75,1,0,135343.0,28.71,27.72,Low Income
B0DWSYTX18,1,1,0,7065.0,32.41,33.53,Low Income
B0DNTHJFYK,48,1,0,21529.0,32.15,32.27,Low Income
B0DRP58PN8,76,1,0,529925.0,26.48,19.65,Very Low Income
B0DSKJZGN8,1,1,0,46418.0,34.47,15.81,Low Income
B09W91M1TH,1,1,0,408516.0,46.81,47.66,Low Income
B0DSJH1644,1,1,0,1687370.0,30.34,39.86,Low Income
B0DKDSYHVV,1,1,49,300073.0,48.89,20.42,Low Income
B0DK6FRPQ9,1,1,49,786311.0,31.55,14.75,Low Income
B0DX5LY7DV,1,1,0,2219307.0,25.23,9.52,Very Low Income
B0DX21W6MC,1,1,0,,25.19,18.04,Very Low Income
B0DWXKY6LL,77,1,0,77320.0,25.71,17.30,Very Low Income
B0DK4M91YV,1,1,24,,34.16,15.71,Low Income
B0DXBV98J4,8,1,0,196033.0,30.11,0.00,Low Income
B0DPWTR3LF,1,1,0,66964.0,34.85,26.18,Very Low Income
B0DSVP4CXS,1,1,0,458452.0,50.77,9.32,Low Income
B0DSZM12Y3,44,1,0,213307.0,25.19,18.68,Low Income
B0DWMRH7S6,1,1,81,,54.64,39.81,Lower-Middle Income
B0DL5ZX34T,1,1,0,6853.0,38.97,18.05,Low Income
B0DXH63W6N,1,1,0,219829.0,29.08,23.08,Very Low Income
B0DX6W81W1,1,1,0,,26.37,19.69,Very Low Income
B0DWXBPLZZ,1,1,0,,30.39,24.69,Low Income
B0DWRHX617,1,1,0,998423.0,25.50,15.58,Very Low Income
B0DWWWS35X,1,1,0,,25.67,19.10,Very Low Income
B0DVV8GTHZ,71,1,0,50290.0,34.93,47.18,Low Income
B0DWSYN243,59,1,54,2996.0,33.37,34.03,Low Income
B0DX4THZVS,41,1,0,886369.0,29.42,42.06,Low Income
B0CX33P3XS,78,1,0,,29.21,21.27,Low Income
B0DXNFMDBH,1,1,47,2099354.0,196.56,155.03,Lower-Middle Income
B0DSLGWTX7,1,1,0,100848.0,26.62,21.74,Very Low Income
B0DRYD2GDZ,1,1,0,,26.88,19.97,Very Low Income
B0DPMN3T9V,1,1,0,,31.79,26.41,Low Income
B0DQNVVRHB,1,1,0,140313.0,29.17,23.12,Very Low Income
B0DSC4YX2W,1,1,0,137494.0,32.57,51.84,Low Income
B0DS9M3BZN,1,1,0,903008.0,31.28,56.53,Lower-Middle Income
B0DRP3SYB9,76,1,0,601856.0,29.85,26.72,Low Income
B0DWNJ3F1P,1,1,0,882825.0,29.65,29.03,Low Income
B0DX1VZ8M3,1,1,0,,26.13,10.15,Very Low Income
B0DWZRY2SR,1,1,0,332240.0,26.65,15.71,Very Low Income
B0DSPNSCG6,79,1,0,1431527.0,25.25,0.00,Very Low Income
B0DK7HT3NG,80,1,0,16658.0,27.90,24.04,Low Income
B0DS6WF39Z,1,1,0,,26.99,20.29,Very Low Income
B0DSVHH52L,66,1,0,5068.0,27.97,23.03,Low Income
B0DSVLM2FJ,1,1,0,9292.0,26.11,21.70,Low Income
B0DXKGV5GM,1,1,31,,27.38,17.23,Low Income
B0DPLT5QWP,1,1,0,549303.0,27.06,11.08,Low Income
B0DSVPL5C4,81,1,0,,31.88,29.96,Low Income
B0DRYWMVSY,34,1,0,558109.0,25.11,20.42,Very Low Income
B0DRXKGYJS,1,1,0,3019101.0,35.16,17.31,Low Income
B0DNQ1KSFM,82,1,0,636590.0,25.39,19.00,Very Low Income
B0DSVQ5X7Y,81,1,0,,34.92,31.58,Low Income
B0DSVPVCL6,60,1,0,65206.0,34.21,25.82,Low Income
B0DKSNZ8SQ,83,1,0,116467.0,46.00,58.53,Lower-Middle Income
B0DP88JH8R,1,1,0,,26.15,22.21,Low Income
B0DS9PRVNG,30,1,0,726130.0,28.19,24.76,Low Income
B0DDCS44C7,84,1,0,1348952.0,26.31,20.52,Very Low Income
B0DW5QS2RM,85,1,0,,30.90,26.32,Low Income
B0DJNL63X3,1,1,0,13042.0,35.88,17.50,Low Income
B0DX84RCPS,18,1,0,,34.37,35.06,Low Income
B0DX2YV2M6,86,1,0,2115217.0,26.31,24.06,Very Low Income
B0DX89H4W2,18,1,0,,30.58,30.60,Low Income
B0DX4VBMWQ,41,1,0,,47.38,38.02,Low Income
B0DSTW7DZZ,1,1,0,1134928.0,35.61,47.58,Low Income
B0DPFD6HLD,1,1,0,257596.0,28.82,4.37,Low Income
B0DS58NR7Z,1,1,0,,25.23,0.00,Very Low Income
B0DTK7M5TH,1,1,0,,30.63,26.49,Low Income
B0DRS81RTR,87,1,0,490893.0,25.39,20.03,Very Low Income
B0DQKSJSZR,88,1,0,6713468.0,25.35,18.37,Very Low Income
B0DSW5ZZG2,1,1,0,1717464.0,25.07,7.24,Very Low Income
B0DSBCPQWK,1,1,24,395648.0,25.23,0.00,Very Low Income
B0DTBS9SMF,65,1,0,81425.0,28.66,24.79,Low Income
B0DWYMWNFJ,77,1,0,1402877.0,34.97,0.00,Lower-Middle Income
B0DT8T73KQ,1,1,0,20919.0,29.66,35.12,Low Income
B0DW7ZY1MX,43,1,0,,25.16,8.62,Very Low Income
B0DRGBJ7NF,1,1,0,4213.0,38.76,18.25,Low Income
B0DPHP9JZM,1,1,0,856846.0,26.20,4.29,Low Income
B0DR4BG46B,1,1,0,,25.99,18.05,Low Income
B0DT536HCC,1,1,0,661548.0,27.00,27.33,Low Income
B0DRJTBDHL,1,1,0,232003.0,25.07,7.24,Very Low Income
B0DSZ7MWSB,1,1,0,,25.23,10.32,Very Low Income
B0DSZ4S4P8,1,1,0,,28.31,25.89,Low Income
B0DQD2Y93T,89,1,0,538668.0,25.27,16.16,Very Low Income
B0DPZSN15W,1,1,0,,27.84,11.13,Low Income
B0DSG7L68J,1,1,26,,25.88,0.00,Very Low Income
B0DSG6R273,1,1,23,,25.88,0.00,Very Low Income
B0DPPY3QGY,1,1,0,1783180.0,26.67,21.78,Very Low Income
B0DSFWX52B,1,1,0,52912.0,41.98,20.18,Low Income
B0DSFTTMCQ,1,1,0,17272.0,37.56,17.95,Low Income
B0DSFXCZW8,1,1,0,166894.0,27.90,11.43,Very Low Income
B0DS1ND723,62,1,0,10487.0,31.13,9.87,Low Income
B0DWT2HFBY,59,1,0,,28.01,0.00,Very Low Income
B0DT9DT9T4,1,1,0,,26.46,10.33,Very Low Income
B0DW8PNFPH,1,1,23,729097.0,26.19,23.15,Low Income
B0DWX26V8C,1,1,0,250457.0,29.12,24.70,Low Income
B0DQ54KSBJ,1,1,0,5603.0,28.88,22.44,Very Low Income
B0DRD4GKPP,1,1,0,6658.0,32.00,36.42,Low Income
B0DWWZ1XNZ,1,1,0,82294.0,31.05,36.46,Low Income
B0DT3YX1RJ,1,1,0,2338498.0,25.23,3.71,Very Low Income
B0DR4MCKG3,1,1,0,10268.0,31.05,32.70,Low Income
B0DWF7TS1C,77,1,0,82961.0,25.23,22.08,Low Income
B0DPG1GPHW,90,1,0,4309302.0,31.83,18.02,Low Income
B0DWF65PCN,54,1,0,410665.0,26.83,25.41,Low Income
B0DWT1MSXR,59,1,23,,26.15,3.97,Very Low Income
B0DWT3DRDR,59,1,23,,26.15,3.97,Very Low Income
B0DWT1G3FB,59,1,29,,26.19,3.99,Very Low Income
B0DWT2HMZW,59,1,23,,25.99,3.96,Very Low Income
B0DWT4BP8K,59,1,54,,26.07,3.98,Very Low Income
B0DWT27FH7,59,1,29,535218.0,26.23,3.99,Very Low Income
B0DWT279DR,59,1,47,,26.27,3.99,Very Low Income
B0DWSG9LTY,59,1,0,839571.0,27.26,19.43,Very Low Income
B0DWT1M1H8,59,1,23,,26.27,3.99,Very Low Income
B0DWT4RCJ1,59,1,23,,26.11,3.97,Very Low Income
B0DWT2G4YN,59,1,54,,25.99,3.96,Very Low Income
B0DWT38D7R,59,1,23,,25.95,3.96,Very Low Income
B0DWT3C9S6,59,1,23,2782827.0,25.99,3.96,Very Low Income
B0DWSZWT4B,59,1,23,,26.15,3.97,Very Low Income
B0DWT1MZNM,59,1,54,3359083.0,25.99,3.96,Very Low Income
B0DWT4VGN6,59,1,23,,26.15,3.97,Very Low Income
B0DWT2NWVN,59,1,29,,26.11,3.97,Very Low Income
B0DWT2HTMW,59,1,23,,26.11,3.97,Very Low Income
